Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1μF 25V","C_0603_1608Metric",121.950000,-83.800000,90.000000,top
"C2","0.1μF","C_0402_1005Metric",102.450000,-81.575000,270.000000,top
"C3","0.1μF","C_0402_1005Metric",112.900000,-88.750000,270.000000,top
"C4","1μF 25V","C_0603_1608Metric",143.850000,-88.100000,0.000000,top
"C5","0.1μF","C_0402_1005Metric",112.900000,-82.450000,270.000000,top
"C6","0.1μF","C_0402_1005Metric",103.000000,-87.350000,0.000000,top
"C7","0.1μF","C_0402_1005Metric",92.420000,-82.595000,180.000000,top
"C8","0.1μF","C_0402_1005Metric",123.250000,-82.550000,270.000000,top
"C9","1μF 25V","C_0603_1608Metric",114.250000,-82.362500,270.000000,top
"C10","0.1μF","C_0402_1005Metric",98.140000,-81.755000,90.000000,top
"C11","1μF 25V","C_0603_1608Metric",114.350000,-88.200000,270.000000,top
"C16","18p","C_0402_1005Metric",137.750000,-87.950000,270.000000,top
"C17","DNP","C_0402_1005Metric",143.850000,-85.600000,0.000000,top
"C18","0.1μF","C_0402_1005Metric",155.685000,-86.600000,0.000000,top
"C19","0.1μF","C_0402_1005Metric",99.965000,-82.240000,180.000000,top
"C20","0.1μF","C_0402_1005Metric",97.150000,-81.755000,90.000000,top
"C21","0.1μF","C_0402_1005Metric",95.605000,-82.380000,180.000000,top
"C22","0.1μF","C_0402_1005Metric",128.370000,-85.960000,0.000000,top
"D3","B140-E3","D_SOD-123F",147.400000,-84.750000,270.000000,top
"J5","DNP","R_0402_1005Metric",115.035000,-84.950000,0.000000,top
"Q1","SS8050","SOT-23",134.010000,-87.290000,0.000000,top
"Q2","DMP3017SFG","Diodes_PowerDI3333-8",143.250000,-82.750000,0.000000,top
"R1","560k","R_0402_1005Metric",94.650000,-81.000000,0.000000,top
"R2","100k","R_0402_1005Metric",101.400000,-81.575000,270.000000,top
"R3","2k37","R_0402_1005Metric",103.310000,-84.710000,90.000000,top
"R4","2k37","R_0402_1005Metric",102.230000,-85.205000,90.000000,top
"R5","2k37","R_0402_1005Metric",113.200000,-84.450000,270.000000,top
"R6","2k37","R_0402_1005Metric",101.755000,-83.210000,0.000000,top
"R7","2k37","R_0402_1005Metric",95.400000,-87.125000,90.000000,top
"R8","2k37","R_0402_1005Metric",127.620000,-83.925000,90.000000,top
"R9","2k37","R_0402_1005Metric",131.230000,-86.280000,0.000000,top
"R12","2k37","R_0402_1005Metric",131.650000,-87.955000,90.000000,top
"R14","2k37","R_0402_1005Metric",136.100000,-88.600000,180.000000,top
"R15","750k","R_0402_1005Metric",136.600000,-86.950000,270.000000,top
"R16","2k37","R_0402_1005Metric",137.750000,-85.900000,270.000000,top
"R17","100k","R_0402_1005Metric",143.850000,-86.750000,180.000000,top
"R18","2k37","R_0402_1005Metric",156.850000,-81.550000,0.000000,top
"R19","20","R_0402_1005Metric",135.335000,-84.980000,0.000000,top
"R20","33","R_0402_1005Metric",132.425000,-82.520000,180.000000,top
"R21","33","R_0402_1005Metric",132.760000,-84.720000,0.000000,top
"R22","10m","R_0805_2012Metric",139.322500,-82.000000,0.000000,top
"R23","2k37","R_0402_1005Metric",92.800000,-87.800000,180.000000,top
"U1","USBLC6-4SC6","SOT-23-6",92.870000,-85.000000,90.000000,top
"U2","AP2204R-3.3","SOT-89-3",118.433500,-82.950000,180.000000,top
"U3","STUSB4500","QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm",98.580000,-85.350000,0.000000,top
"U4","STM32F072CBUx","QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm",108.050000,-85.000000,270.000000,top
"U5","OPA340NA","SOT-23-5",140.350000,-86.750000,90.000000,top
"U6","MCP9700AT-ETT","SOT-23",156.500000,-84.150000,90.000000,top
"U7","SI8540","SOT-23-5",129.950000,-83.620000,270.000000,top
