Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,1μF 25V,C_0603,96.8,-113.8,45,top
C2,0.1μF,C_0402,108.55,-115.05,270,top
C3,0.1μF,C_0402,102.25,-104.65,0,top
C4,1μF 25V,C_0603,98.5,-112.1,225,top
C5,0.1μF,C_0402,109.45,-106.65,180,top
C6,0.1μF,C_0402,99.6,-114,180,top
C7,0.1μF,C_0402,99.85,-101.3,180,top
C8,0.1μF,C_0402,88.4,-110.25,180,top
C9,1μF 25V,C_0603,91.3,-114.2,180,top
C10,0.1μF,C_0402,106.5,-116.5,270,top
C11,1μF 25V,C_0603,100.35,-105.9,270,top
C12,1μF 25V,C_0402,90.5,-112.3,270,top
C13,1μF 25V,C_0402,91,-118.3,0,top
C14,1μF 25V,C_0402,86.8,-110.05,90,top
C15,1μF 25V,C_0402,91,-119.2,0,top
C16,18p,C_0402,91.4,-110.7,45,top
C17,DNP,C_0402,87.3,-106.5,0,top
C18,0.1μF,C_0402,112.3,-105.1,0,top
C19,1μF 25V,C_0402,98.1,-101.05,0,top
C20,1μF 25V,C_0402,102.05,-101.25,0,top
C21,0.1μF,C_0402,102,-100.3,180,top
C22,0.1μF,C_0402,108.1,-116.2,0,top
D3,B140-E3,D_SOD-123F,90.6,-96.7,270,top
Q1,SS8050,SOT-23,92.8,-105.35,270,top
Q2,DMP3017SFG,Diodes_PowerDI3333-8,91.4,-101.2,270,top
R1,560k,R_0402,110,-104,270,top
R2,100k,R_0402,110.95,-104.9,90,top
R3,2k37,R_0402,101.75,-102.9,180,top
R4,2k37,R_0402,101.85,-103.8,180,top
R5,2k37,R_0402,98.85,-119.25,180,top
R6,2k37,R_0402,108,-104.65,0,top
R7,2k37,R_0402,102.7,-95.3,180,top
R8,2k37,R_0402,99.9,-103.75,270,top
R9,2k37,R_0402,92.9,-107.45,180,top
R10,2k37,R_0402,92.4,-115.6,90,top
R11,560k,R_0402,91,-117.4,0,top
R12,2k37,R_0402,93.8,-102.8,270,top
R13,2k37,R_0402,93.4,-115.8,90,top
R14,2k37,R_0402,93.25,-112.05,315,top
R15,750k,R_0402,92,-111.4,45,top
R16,2k37,R_0402,87.7,-107.9,315,top
R17,100k,R_0402,89,-106.5,0,top
R18,2k37,R_0402,111,-110.2,90,top
R19,20,R_0402,90.55,-104.05,180,top
R20,33,R_0402,96.3,-100.9,315,top
R21,33,R_0402,95.65,-101.55,135,top
R22,10m,R_0805,93.55,-97.5,270,top
R23,2k37,R_0402,96,-98.65,90,top
R24,2k37,R_0402,91,-115.6,0,top
SW1,key1,SW_SPST_EVQP7C,109.9,-118.3,0,top
SW2,key2,SW_SPST_EVQP7C,95.1,-118.3,0,top
U1,USBLC6-4SC6,SOT-23-6,103.4,-98,90,top
U2,AP2204R-3.3,SOT-89-3,95.8,-110.4,135,top
U3,STUSB4500QTR,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,99.05,-97.9,180,top
U4,STM32F072C8Tx,LQFP-48_7x7mm_P0.5mm,104.8,-110.3,0,top
U5,OPA340NA,SOT-23-5,90.293934,-108.649569,45,top
U6,MCP9700AT-ETT,SOT-23,112,-107.4,180,top
U7,SI8540,SOT-23-5,97.6,-104.1,90,top
