"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"R23,R8,R3,R7,R14,R16,R4,R5,R6,R9,R10,R12,R13,R18";"R_0402_1005Metric";14;"2k37";;;
2;"D3";"D_SOD-123F";1;"B140-E3";;;
3;"U7";"SOT-23-5";1;"SI8540";;;
4;"R22";"R_0805_2012Metric";1;"10m";;;
5;"R21,R20";"R_0402_1005Metric";2;"33";;;
6;"C22,C21,C20,C19,C6,C2,C5,C7,C8,C10,C3,C18";"C_0402_1005Metric";12;"0.1μF";;;
7;"J5";"R_0402_1005Metric";1;"DNP";;;
8;"U3";"QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm";1;"STUSB4500";;;
9;"J1";"USB-C 16Pin";1;"USB_C_Receptacle_USB2.0";;;
10;"J4";"3622TR";1;"B";;;
11;"SW2";"SW_SPST_PTS810";1;"key2";;;
12;"SW1";"SW_SPST_PTS810";1;"key1";;;
13;"P1";"TC2030-NL_SMALL";1;"TC2030-CTX";;;
14;"J2";"0.69OLED";1;"OLED_64x32";;;
15;"Q2";"Diodes_PowerDI3333-8";1;"DMP3017SFG";;;
16;"R19";"R_0402_1005Metric";1;"20";;;
17;"C16";"C_0402_1005Metric";1;"18p";;;
18;"C17";"C_0402_1005Metric";1;"DNP";;;
19;"U5";"SOT-23-5";1;"OPA340NA";;;
20;"R15";"R_0402_1005Metric";1;"750k";;;
21;"R17,R2";"R_0402_1005Metric";2;"100k";;;
22;"J3";"Keystone_3621";1;"A";;;
23;"C12,C13,C14,C15";"C_0402_1005Metric";4;"1μF 25V";;;
24;"C9,C11,C4,C1";"C_0603_1608Metric";4;"1μF 25V";;;
25;"U4";"QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm";1;"STM32F072C8Ux";;;
26;"Q1";"SOT-23";1;"SS8050";;;
27;"U1";"SOT-23-6";1;"USBLC6-4SC6";;;
28;"U2";"SOT-89-3";1;"AP2204R-3.3";;;
29;"R1,R11";"R_0402_1005Metric";2;"560k";;;
30;"U6";"SOT-23";1;"MCP9700AT-ETT";;;
