Designator,Val,Package,Mid X,Mid Y,Rotation ,Layer
C1,1μF 25V,C_0603_1608Metric,129.45,-87.5,90,top
C2,0.1μF,C_0402_1005Metric,109.95,-85.275,270,top
C3,0.1μF,C_0402_1005Metric,120.4,-92.45,270,top
C4,1μF 25V,C_0603_1608Metric,151.35,-91.8,0,top
C5,0.1μF,C_0402_1005Metric,120.4,-86.15,270,top
C6,0.1μF,C_0402_1005Metric,110.5,-91.05,0,top
C7,0.1μF,C_0402_1005Metric,99.92,-86.295,180,top
C8,0.1μF,C_0402_1005Metric,130.75,-86.25,270,top
C9,1μF 25V,C_0603_1608Metric,121.75,-86.0625,270,top
C10,0.1μF,C_0402_1005Metric,105.64,-85.455,90,top
C11,1μF 25V,C_0603_1608Metric,121.85,-91.9,270,top
C16,18p,C_0402_1005Metric,145.25,-91.65,270,top
C17,DNP,C_0402_1005Metric,151.35,-89.3,0,top
C18,0.1μF,C_0402_1005Metric,163.185,-90.3,0,top
C19,0.1μF,C_0402_1005Metric,107.465,-85.94,180,top
C20,0.1μF,C_0402_1005Metric,104.65,-85.455,90,top
C21,0.1μF,C_0402_1005Metric,103.105,-86.08,180,top
C22,0.1μF,C_0402_1005Metric,135.87,-89.66,0,top
D3,B140-E3,D_SOD-123F,154.9,-88.45,90,top
J5,DNP,R_0402_1005Metric,122.535,-88.65,0,top
Q1,SS8050,SOT-23,141.51,-90.99,180,top
Q2,DMP3017SFG,Diodes_PowerDI3333-8,150.75,-86.45,0,top
R1,560k,R_0402_1005Metric,102.15,-84.7,0,top
R2,100k,R_0402_1005Metric,108.9,-85.275,270,top
R3,2k37,R_0402_1005Metric,110.81,-88.41,90,top
R4,2k37,R_0402_1005Metric,109.73,-88.905,90,top
R5,2k37,R_0402_1005Metric,120.7,-88.15,270,top
R6,2k37,R_0402_1005Metric,109.255,-86.91,0,top
R7,2k37,R_0402_1005Metric,102.9,-90.825,90,top
R8,2k37,R_0402_1005Metric,135.12,-87.625,90,top
R9,2k37,R_0402_1005Metric,138.73,-89.98,0,top
R12,2k37,R_0402_1005Metric,139.15,-91.655,90,top
R14,2k37,R_0402_1005Metric,143.6,-92.3,180,top
R15,750k,R_0402_1005Metric,144.1,-90.65,270,top
R16,2k37,R_0402_1005Metric,145.25,-89.6,270,top
R17,100k,R_0402_1005Metric,151.35,-90.45,180,top
R18,2k37,R_0402_1005Metric,164.35,-85.25,0,top
R19,20,R_0402_1005Metric,142.835,-88.68,0,top
R20,33,R_0402_1005Metric,139.925,-86.22,180,top
R21,33,R_0402_1005Metric,140.26,-88.42,0,top
R22,10m,R_0805_2012Metric,146.8225,-85.7,0,top
R23,2k37,R_0402_1005Metric,100.3,-91.5,180,top
U1,USBLC6-4SC6,SOT-23-6,100.37,-88.7,270,top
U2,AP2204R-3.3,SOT-89-3,125.9335,-86.65,180,top
U3,STUSB4500,QFN-24-1EP_4x4mm_P0.5mm_EP2.7x2.7mm,106.08,-89.05,0,top
U4,STM32F072CBUx,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm,115.55,-88.7,270,top
U5,OPA340NA,SOT-23-5,147.85,-90.45,270,top
U6,MCP9700AT-ETT,SOT-23,164,-87.85,90,top
U7,SI8540,SOT-23-5,137.45,-87.32,270,top
C1,1μF 25V,C_0603_1608Metric,129.45,-101.5,90,top
C2,0.1μF,C_0402_1005Metric,109.95,-99.275,270,top
C3,0.1μF,C_0402_1005Metric,120.4,-106.45,270,top
