Comment,Designator,Quantity,Footprint,LCSC,Mouser,Farnell 
1μF 25V 0402,"C15,C13,C14,C12,C20,C19",6,C 0402,C52923,81-GRM155R61E105KA2J,
18p 0402,C16,1,C 0402,C1549,81-GCM1555C1H180JA6D,
0.1μF 50V 0402,"C3,C5,C7,C8,C10,C2,C18,C6,C21,C22",10,C 0402,C1525,81-GCM155L8EH104KE7D,
1μF 25V 0603,"C9,C1,C4,C11",4,C 0603,C15849,791-0603B105K500CT,
B140-E3 SOD-123F,D3,1,SOD-123F,C64891,833-SL210PL-TP,
USB_C_Receptacle_USB2.0,J1,1,otter:USB-C 16Pin,C319148,,
OLED_96x16,J2,1,otter:0.69OLED,C88335,,
A Keystone 3621,J3,1,Keystone 3621,,534-3621 ,
B Keystone 3622,J4,1,Keystone 3622,,534-3622,
SS8050 SOT-23,Q1,1,SOT-23,C2150,833-MMSS8050-L-TP,
DMP3017SFG,Q2,1,DI3333-8,C461072,621-DMP3017SFGQ-7,
560k R 0402,"R1,R11",2,R 0402,C132339,71-CRCW0402-560K-E3,
750k R 0402,R15,1,R 0402,C122545,71-CRCW0402-750K-E3,
20 R 0402,R19,1,R 0402,C25089,71-CRCW040220R0FKEDC,
100k R 0402,"R2,R17",2,R 0402,C25741,603-AC0402FR-13100KL,
33 R 0402,"R20,R21",2,R 0402,C25105,71-CRCW040233R0FKEDC,
10m R 0805,R22,1,R 0805,C50732,710-580060720008,
2k37 R 0402,"R5,R3,R4,R6,R12,R9,R10,R13,R16,R14,R18,R7,R8,R23",14,R 0402,C25881,71-CRCW0402-2.37K-E3,
key1 SPST PTS810,SW1,1,SPST PTS810,C92589,611-PTS810SJS250SMTR,
key2 SPST PTS810,SW2,1,SPST PTS810,C92589,611-PTS810SJS250SMTR,
USBLC6-4SC6 SOT-23-6,U1,1,SOT-23-6,C111212,511-USBLC6-4SC6,1295311
AP2204R-3.3 SOT-89-3,U2,1,SOT-89-3,C156303,621-AP2204R-3.3TRG1 ,
STUSB4500QTR,U3,1,QFN-24,,511-STUSB4500QTR ,2980889
STM32F072CBU6,U4,1,QFN-48,C92504,511-STM32F072CBU6 ,
OPA340NA SOT-23-5,U5,1,SOT-23-5,C73479,595-OPA340NA/3K,
MCP9700AT-ETT SOT-23,U6,1,SOT-23,,579-MCP9700AT-E/TT,1605577
SI8540 SOT-23-5,U7,1,SOT-23-5,,634-SI8540-B-FWR ,SI8540
